Exp	Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	obs_mean	obs_std
mp_ppo_SuperMarioBros-1-1-v0_0	0	51.480029296875	17.31594195252239	70.40013	17.700003	249.7	-0.01515410041809082	0.004078939581228694	0.005797101	-0.029791499	4000	-7.629394893626795e-09	11.237751007080078	-0.03076784685254097	-8.154520988464355	1.9455386400222778	0.010038589127361774	0.19949999451637268	79.0	1	0.546264478707456	0.05952561855940925
mp_ppo_SuperMarioBros-1-1-v0_0	1	65.35000174386161	39.78073798907402	169.09995	17.900005	197.07142857142858	2.649308837890625	2.774608203619702	11.675971	-1.5865172	8000	-3.5762786065873797e-09	5.186036586761475	-0.010908670723438263	-0.5821800231933594	1.9342875480651855	0.019571740180253983	0.2784999907016754	5.0	1	0.547910071960235	0.06182000260597677
mp_ppo_SuperMarioBros-1-1-v0_0	2	66.19090687144886	42.25665838133463	160.99991	17.300005	186.72727272727272	2.45801513671875	2.349637189413506	8.966611	-1.0300897	12000	5.841255035221593e-09	4.856024742126465	-0.032038021832704544	-1.8726091384887695	1.9093806743621826	0.015006975270807743	0.27149999141693115	65.0	2	0.5477275635137426	0.061975580809855185
mp_ppo_SuperMarioBros-1-1-v0_0	3	61.9888916015625	34.96491452007045	124.14991	18.300005	193.66666666666666	3.0900791015625	3.1047361753859217	9.977554	-2.155206	16000	6.794929507947245e-09	5.807558059692383	-0.040023818612098694	-2.8247807025909424	1.8698865175247192	0.01303409319370985	0.2524999976158142	79.0	4	0.5480325812269005	0.062427046719048584
mp_ppo_SuperMarioBros-1-1-v0_0	4	60.20166015625	35.99199129667599	163.04996	16.900002	126.7	4.365392578125	3.257272812012374	13.253091	-4.137213	20000	1.400709104260045e-09	7.168138027191162	-0.007969987578690052	-0.7603492736816406	1.807665228843689	0.017884016036987305	0.25099998712539673	5.0	4	0.5488359666418724	0.06281797112010291
mp_ppo_SuperMarioBros-1-1-v0_0	5	75.19316517223011	49.094533911049425	228.64986	14.300004	161.36363636363637	4.282861328125	3.0655103189558828	12.355156	-4.2377443	24000	9.298324776807476e-09	7.762645721435547	0.0025578257627785206	-0.8391084671020508	1.7404608726501465	0.01950106956064701	0.29649999737739563	4.0	5	0.5492472268837731	0.0632985398371786
mp_ppo_SuperMarioBros-1-1-v0_0	6	67.6942138671875	33.90912452366676	162.69992	18.400005	143.8846153846154	4.98996923828125	3.3411137388040233	12.750548	-1.1444602	28000	-1.19209286886246e-09	7.776190280914307	-0.007248872425407171	-1.558213233947754	1.6421352624893188	0.015103139914572239	0.22550000250339508	7.0	5	0.5495874208538898	0.06351487646205208
mp_ppo_SuperMarioBros-1-1-v0_0	7	78.0959716796875	42.95035833668911	188.69987	17.500002	152.0	4.66136328125	3.284525894488046	12.784868	-1.9534812	32000	-1.2516975234078132e-09	8.474245071411133	-0.011816500686109066	-2.2487592697143555	1.6043227910995483	0.015058282762765884	0.20200000703334808	29.0	6	0.5499121956801509	0.06377332229757844
mp_ppo_SuperMarioBros-1-1-v0_0	8	75.7728983561198	50.21132425393034	261.64984	18.9	136.16666666666666	4.842109375	3.325967610617247	12.252542	-0.9958684	36000	-4.768371808516747e-10	7.8656392097473145	-0.02841605246067047	-2.784836769104004	1.5553271770477295	0.014424826949834824	0.22550000250339508	79.0	7	0.5501194138351992	0.06424008325155255
mp_ppo_SuperMarioBros-1-1-v0_0	9	83.05551034432871	39.58774463723544	187.69984	19.200003	143.11111111111111	5.572431640625	3.173783908345841	12.2324295	-1.3792055	40000	4.76837147544984e-09	7.984510898590088	-0.009962093085050583	-1.6724109649658203	1.5011383295059204	0.015834996476769447	0.1979999989271164	17.0	8	0.550430648979281	0.06434925854612124
mp_ppo_SuperMarioBros-1-1-v0_0	10	70.87569056919642	39.942888916551844	153.59987	18.300005	110.0	6.2074345703125	2.8570613932303766	11.095089	-0.83567494	44000	8.344650304081824e-09	8.452485084533691	-0.02681097202003002	-2.827500343322754	1.4159393310546875	0.01506603229790926	0.18925000727176666	75.0	9	0.5507791474592645	0.06434834362134725
mp_ppo_SuperMarioBros-1-1-v0_0	11	77.92665201822916	55.89900211542242	310.8501	19.400003	125.66666666666667	5.90311572265625	3.1470006802112387	19.308645	-7.26152	48000	-4.708767153971394e-09	9.405165672302246	-0.0010504464153200388	-2.122941493988037	1.3858153820037842	0.015244496054947376	0.1577499955892563	12.0	10	0.5510144800387219	0.06507155784201918
